LABEL,TRANSLATION
"SUN","DOM"
"MON","LUN"
"TUE","MAR"
"WED","MER"
"THU","GIO"
"FRI","VEN"
"SAT","SAB"
"Add recent picks","Scegli tra i recenti"
"recent","recenti"
"Enter your working hours","Inserisce le ore di lavoro"
"Select a day from the calendar","Seleziona un giorno dal calendario"
"Day with partial hours","Giorno con ore parziali"
"Day completed","Giorno completato"
"Weekend","Weekend"
"Legend","Legenda"
"Notes","Note"
"Ask your administrator to link your user to a department to use the timesheet.","Chiedi al tuo amministratore di assciare il tuo utente ad un reparto per utlizzare il timesheet."
----------------------,--------PLANNING--------
"Planning","Pianificazione"
----------------------,--------MISSING LOG TIMES--------
"Weekly hours","Ore settimanali"
"Total expected hours","Ore pèreviste"
"Effective hours","Ore effettive"
"Difference","Differenza"
----------------------,--------HOUR TPYE----------------
"Types of working time","Tipi di ora"
"Details of this type","Dettagli della tipologia"
"Type","Tipo"
"Type name","Nome del tipo"
"This type will be available only for people of this department","Questa tipologia sarà disponibile solo alle persone di questo dipartimento"
"Are you sure? You will also delete all the hour logs related to this hour type.","Sei sicuro? Cancellerai anche tutte le ore inserite per questa tipologia."
----------------------,--------CLIENTS----------------
"Do you confirm to delete the selected clients and all their jobs and hours?","Confermi la cancellazione dei clienti, dei progetti e di tutte le ore inserite?"
"Client details","Dettaglio cliente"
"Show jobs for this client","Mostra i progetti di questo cliente"
----------------------,--------MY LOG TIME----------------
"Month","Mese"
"Hours","Ore"
"Total time","Ore totali"
----------------------,--------REPORT----------------
"Abbreviation","Sigla"
"Type of hour","Tipo di ora"
"Download CSV","Scarica CSV"
"All people ON","Tutte le persone ON"
"All people OFF","Tutte le persone OFF"
"Standard","Standard"
"By job","Per progetto"
"By client","Per cliente"
"By person","Per persona"
"Work report","Report di lavoro"
"None","Nessuno"
"All jobs ON","Tutti i progetti ON"
"All jobs OFF","Tutti i progetti OFF"
"Not started","Non cominciato"
"Search","Ricerca"
"Please select a client","Seleziona un cliente"
"The range of dates must not cover a range larger than 12 months","L'intervallo di date non deve superare i 12 mesi"
"Cost","Costo"
"Total cost","Costo totale"
"Days","Giorni"
"Report","Report"
"Date","Data"
"Description","Descrizione"
"Period","Periodo"
"Share","Condividi"
----------------------,--------TASKS----------------
"To do lists","Liste"
"My tasks","I miei task"
"Tasks","Task"
"Task","Task"
"to do","DA FARE"
"in progress","in corso"
"done","FATTO"
"List","Lista"
"Find task","Trova il task"
"Expiration","Scadenza"
"Are you sure to move to Archive?","Sposto nell'Archivio?"
"You don't have selected any item.","Non hai selezionato nulla."
"Archive","Archivio"
"Task name","Nome del task"
"Open date and time","Data e ora di apertura"
"Close date and time","Data e ora di chiusura"
"Now","Adesso"
"tbd","tbd"
"Add new","Crea nuovo"
"Priority","Priorità"
"Text","Testo","4.3.5"
"Media","Media","4.3.5"
----------------------,--------DEPARTMENT-------------
"Department info","Info reparto"
"People","Persone"
"Flag this if you want this department as default for reports","Spunta se vuoi utilizzare questo reparto come default per i report"
"Default","Default"
"Are you sure? All the users of this department must be manually reassigned to another department","Sei sicuro? Tutti gli utenti collegati a questo reparto andranno riassegnati manualmente ad un altro reparto"
----------------------,--------LISTS-------------
"Lists","Liste"
"ID","ID"
"List name","Nome lista"
"Visibility","Visibilità"
"Private","Privata"
"Public","Pubblica"
"List details","Dettaglio info lista"
"Creation date","Data di creazione"
"Target user","Utente destinatario"
"Select a list","Seleziona una lista"
"Target department","Dipartimento destinatario"
"Every user of this department can edit tasks in this list","Ogni utente di questo reparto può editare i task."
----------------------,-------------CHAT--------------
"h","h"
"Hi %s, what have you done today?","Ciao %s, cosa hai fatto oggi?"
"Add notes","Aggiungi una nota"
"Change this log","Modifica"
"Half hour","Mezz'ora"
"1 hour","1 ora"
"1 hour and half","1 ora e mezza"
"2 hours","2 ore"
"2 hours and half","2 ore e mezza"
"3 hours","3 ore"
"3 hours and half","3 ore e mezza"
"4 hours","4 ore"
"4 hours and half","4 ore e mezza"
"5 hours","5 ore"
"5 hours and half","5 ore e mezza"
"6 hours","6 ore"
"6 hours and half","6 ore e mezza"
"7 hours","7 ore"
"7 hours and half","7 ore e mezza"
"8 hours","8 ore"
"Half day","Mezza giornata"
"Whole day","Tutto il giorno"
"Here is the form:","Ecco il modulo da compilare:"
----------------------,-------------PLANNING--------------
"Add a new task","Aggiungi una attività"
"Task","Attività"
"Edit a planning for a person","Modifica pianificazione"
"Add a planning for a person","Aggiungi pianificazione"
"Jobs view","Vista progetti"
"People view","Vista persone"
"Previous week","Settimana precedente"
"Next week","Settimana succesiva"
"Use (+) button to add todos in week from %s","Utilizza il (+) per aggiungere attività nella settimana dal %s"
"You can't insert more hours than %s hours in a day","Non puoi inserire più di %s ore al giorno"
"ERROR","ERRORE"
"You already have a task this week for this job","Hai già una attività questa settimana per questo progetto"
"Edit the task","Modifica la attività"
"Missing task","Attività non trovata"
"Task already present, edit it instead","Attività già inserita, modificala"
----------------------,--------------PROFILES-----------------
"User profiles","Profili utente"
"Profiles","Profili"
"Profile info","Informazioni profilo"
"Profile #ID","#ID profilo"
----------------------,--------------FORNITORI-----------------
"Supplier","Fornitore"
"Suppliers","Fornitori"
"Registry","Anagrafiche"
"Supplier details","Dettaglio fornitore"
"Do you confirm to delete the selected suppliers?","Confermi l'eliminazione dei fornitori selezionati?"
"Costs &amp; Revenues","Costi &amp; Ricavi"
"Costs","Costi"
"Revenues","Ricavi"
"Amount","Importo"
"Payment date","Data pagamento"
"Estimate","Stima"
"Progress claim","SAL approvato"
"Invoice emitted","Fattura emessa"
"Invoice paid","Fattura pagata"
"Revenue details","Dettaglio ricavo"
"Cost details","Dettaglio costo"
"Do you confirm to delete the selected revenues?","Confermi l'eliminazione dei ricavi selezionati?"
"Do you confirm to delete the selected costs?","Confermi l'eliminazione dei costi selezionati?"
